# Time-averaged data for fix myat4
# TimeStep c_Twater
151100 370.427
151200 316.268
151300 351.243
151400 319.537
151500 330.29
151600 331.055
151700 319.796
151800 337.117
151900 325.237
152000 312.964
152100 310.772
152200 332.585
152300 311.55
152400 336.273
152500 366.017
152600 363.301
152700 333.156
152800 346.379
152900 335.426
153000 320.957
153100 335.472
153200 288.742
153300 317.259
153400 311.725
153500 294.633
153600 309.553
153700 327.303
153800 331.254
153900 337.103
154000 333.587
154100 351.657
154200 352.448
154300 307.918
154400 321.127
154500 296.217
154600 319.073
154700 345.748
154800 356.582
154900 332.886
155000 332.84
155100 348.991
155200 337.901
155300 379.792
155400 355.036
155500 316.926
155600 364.034
155700 362.204
155800 338.082
155900 313.552
156000 316.827
156100 329.514
156200 314.555
156300 323.893
156400 323.949
156500 330.547
156600 328.41
156700 325.76
156800 357.736
156900 343
157000 358.178
157100 309.306
157200 302.6
157300 337.11
157400 319.525
157500 331.727
157600 359.615
157700 346.922
157800 358.379
157900 335.757
158000 342.317
158100 380.295
158200 388.554
158300 374.614
158400 314.858
158500 355.042
158600 306.632
158700 353.034
158800 301.453
158900 318.72
159000 326.853
159100 319.048
159200 311.53
159300 347.734
159400 317.828
159500 340.288
159600 339.682
159700 308.244
159800 355.671
159900 347.603
160000 342.003
160100 333.878
160200 345.302
160300 303.39
160400 317.436
160500 318.427
160600 319.462
160700 333.71
160800 352.722
160900 329.577
161000 331.278
161100 338.138
161200 329.427
161300 353.246
161400 325.413
161500 336.53
161600 341.938
161700 333.944
161800 306.461
161900 312.813
162000 282.979
162100 281.574
162200 297.898
162300 287.153
162400 336.72
162500 321.843
162600 303.342
162700 325.708
162800 327.869
162900 376.455
163000 313.977
163100 343.551
163200 333.868
163300 314.308
163400 337.145
163500 327.322
163600 315.72
163700 297.57
163800 311.705
163900 336.155
164000 307.763
164100 311.993
164200 305.142
164300 345.028
164400 349.421
164500 321.371
164600 313.141
164700 321.266
164800 326.312
164900 334.994
165000 332.788
165100 303.845
165200 318.517
165300 321.342
165400 340.995
165500 321.842
165600 353.143
165700 374.514
165800 354.928
165900 341.687
166000 357.995
166100 323.362
166200 355.45
166300 293.569
166400 340.519
166500 335.935
166600 336.006
166700 329.959
166800 359.892
166900 377.059
167000 370.236
167100 327.849
167200 295.445
167300 328.582
167400 302.343
167500 297.33
167600 367.589
167700 290.996
167800 324.889
167900 345.966
168000 363.346
168100 352.12
168200 372.298
168300 348.932
168400 316.134
168500 339.595
168600 324.933
168700 355.913
168800 332.797
168900 319.417
169000 316.108
169100 325.52
169200 341.831
169300 335.37
169400 356.295
169500 366.43
169600 383.04
169700 362.024
169800 340.624
169900 307.362
170000 306.472
170100 334.74
170200 327.353
170300 330.601
170400 350.323
170500 343.233
170600 333.889
170700 370.645
170800 335.985
170900 312.885
171000 304.238
171100 333.586
171200 308.485
171300 337.222
171400 304.589
171500 337.736
171600 352.738
171700 350.802
171800 343.782
171900 315.163
172000 322.831
172100 324.24
172200 301.044
172300 327.327
172400 326.447
172500 318.23
172600 317.749
172700 331.438
172800 351.278
172900 347.458
173000 344.194
173100 330.087
173200 344.745
173300 303.775
173400 304.494
173500 330.918
173600 355.894
173700 332.965
173800 323.417
173900 336.819
174000 361.154
174100 354.387
174200 329.813
174300 342.919
174400 314.382
174500 340.151
174600 346.334
174700 322.254
174800 328.255
174900 326.662
175000 300.753
175100 341.835
175200 313.922
175300 327.779
175400 316.282
175500 280.379
175600 306.097
175700 290.351
175800 306.757
175900 319.731
176000 330.94
176100 329.523
176200 330.853
176300 335.488
176400 336.76
176500 320.704
176600 338.971
176700 303.309
176800 304.879
176900 308.464
177000 310.009
177100 339.721
177200 356.335
177300 355.042
177400 350.401
177500 319.339
177600 334.715
177700 337.038
177800 334.125
177900 325.133
178000 333.009
178100 300.542
178200 288.996
178300 296.779
178400 326.995
178500 349.38
178600 369.107
178700 334.411
178800 325.383
178900 325.046
179000 315.31
179100 319.65
179200 323.325
179300 339.48
179400 322.24
179500 331.712
179600 325.784
179700 327.698
179800 327.341
179900 323.205
180000 309.806
180100 341.708
180200 325.766
180300 339.077
180400 356.144
180500 320.996
180600 334.263
180700 344.265
180800 352.064
180900 337.176
181000 320.941
181100 317.225
181200 302.121
181300 314.554
181400 291.077
181500 309.491
181600 312.872
181700 343.301
181800 328.281
181900 322.188
182000 325.35
182100 338.042
182200 334.778
182300 340.707
182400 284.014
182500 316.78
182600 318.563
182700 337.497
182800 345.822
182900 367.041
183000 350.532
183100 353.37
183200 309.933
183300 340.2
183400 335.888
183500 325.33
183600 297.855
183700 310.268
183800 284.067
183900 326.045
184000 342.373
184100 341.591
184200 340.364
184300 327.495
184400 299.22
184500 329.135
184600 304.084
184700 325.738
184800 386.698
184900 326.352
185000 365.016
185100 345.968
185200 350.261
185300 361.235
185400 330.352
185500 341.023
185600 300.225
185700 345.438
185800 334.842
185900 324.922
186000 327.898
186100 318.64
186200 296.829
186300 284.961
186400 274.432
186500 306.099
186600 277.733
186700 302.055
186800 336.483
186900 338.703
187000 348.863
187100 324.24
187200 316.147
187300 329.793
187400 351.848
187500 356.475
187600 352.118
187700 353.926
187800 318.153
187900 308.854
188000 305.367
188100 311.056
188200 318.501
188300 322.329
188400 332.605
188500 323.036
188600 364.781
188700 329.665
188800 369.699
188900 362.313
189000 357.316
189100 331.784
189200 334.166
189300 331.653
189400 344.618
189500 302.697
189600 330.148
189700 297.081
189800 311.489
189900 333.467
190000 315.563
190100 357.267
190200 342.531
190300 331.767
190400 340.745
190500 343.957
190600 324.157
190700 324.792
190800 295.052
190900 327.812
191000 322.706
191100 346.675
