#step pe ke etotal temp press vol
147000 -1810.1548008753666181 9.1653063206090301662 -1800.9894945547575844 289.41181795445334046 3648.4790306309996595 2683.2073089264999908
148000 -1810.1282373880085288 9.0177781546852582295 -1801.1104592333233541 284.75333811690785524 3589.7517605352882128 2683.2073089264999908
149000 -1809.3824882674762193 8.5975563041779494711 -1800.784931963298277 271.48404133126337001 3422.4719603674102473 2683.2073089264999908
150000 -1811.1758474141965962 8.8974472038961707199 -1802.2784002103003331 280.95366159701347897 3541.8510210147023827 2683.2073089264999908
151000 -1810.7107448089668651 8.7021243733532038789 -1802.0086204356136932 274.7859751610086505 3464.0978912761916035 2683.2073089264999908
152000 -1811.120377153326217 8.7651857166044688796 -1802.355191436721725 276.7772559054350836 3489.2010335441491407 2683.2073089264999908
153000 -1811.0625289489062197 9.0669983987435394113 -1801.9955305501625844 286.30756007248373862 3609.3451076692936113 2683.2073089264999908
154000 -1811.3103022703207898 9.1516261019122335796 -1802.1586761684086468 288.97983927042923824 3643.0332779955988372 2683.2073089264999908
155000 -1811.5324994930069806 9.0584829715171224507 -1802.4740165214898298 286.03866941154484493 3605.9553292390201022 2683.2073089264999908
156000 -1811.7093548960101543 9.362125134470522525 -1802.3472297615396656 295.6267428827353001 3726.8276738828490124 2683.2073089264999908
157000 -1811.3284006605065315 8.521461041507096823 -1802.8069396189994222 269.08119002036141865 3392.1803410288744089 2683.2073089264999908
158000 -1809.8580876363550942 9.3564541753100183286 -1800.5016334610450031 295.4476716610243443 3724.5702069901021787 2683.2073089264999908
159000 -1811.5821500370864214 8.0646075682094355841 -1803.5175424688770818 254.65518071736883599 3210.3184087495947097 2683.2073089264999908
160000 -1811.4620503802125313 8.666135730960739636 -1802.7959146492516993 273.64956596134061328 3449.7717135668294759 2683.2073089264999908
161000 -1812.0678237828005877 9.4595272141239430397 -1802.6082965686766784 298.70239708991164207 3765.6010037339506198 2683.2073089264999908
162000 -1811.3370005724668772 8.5685658285099357556 -1802.7684347439569592 270.56861243309572274 3410.9315776608409578 2683.2073089264999908
163000 -1811.4079376346321624 8.8176691128610791282 -1802.5902685217711223 278.43451804067814237 3510.0933598887659173 2683.2073089264999908
164000 -1811.7005391613656684 8.6949677990155951335 -1803.0055713623501106 274.55999284062335164 3461.2490381676807374 2683.2073089264999908
