# Time-averaged data for fix myat3
# TimeStep c_Tsurface_sup
114300 223.822
114400 352.355
114500 306.085
114600 299.093
114700 301.278
114800 341.858
114900 398.022
115000 262.735
115100 440.02
115200 314.671
115300 326.761
115400 364.592
115500 298.501
115600 358.864
115700 395.847
115800 365.771
115900 449.859
116000 432.332
116100 332.596
116200 224.79
116300 262.305
116400 386.657
116500 377.031
116600 249.135
116700 364.18
116800 318.047
116900 378.972
117000 336.317
117100 255.275
117200 375.191
117300 323.231
117400 225.655
117500 358.418
117600 310.598
117700 312.766
117800 344.706
117900 258.069
118000 342.094
118100 251.785
118200 336.973
118300 383.86
118400 305.234
118500 349.324
118600 288.6
118700 306.476
118800 328.384
118900 302.977
119000 484.191
119100 259.189
119200 464.643
119300 322.573
119400 301.729
119500 327.567
119600 291.533
119700 336.025
119800 339.282
119900 294.554
120000 323.905
120100 474.281
120200 236.158
120300 322.869
120400 291.827
120500 294.135
120600 306.314
120700 243.78
120800 289.078
120900 402.821
121000 263.203
121100 400.114
121200 306.791
121300 277.74
121400 317.023
121500 306.427
121600 220.95
121700 282.86
121800 258.31
121900 353.014
122000 261.775
122100 303.118
122200 291.337
122300 313.266
122400 262.567
122500 369.029
122600 138.244
122700 380.29
122800 259.006
122900 234.681
123000 323.713
123100 237.035
123200 315.777
123300 375.13
123400 330.366
123500 367.218
123600 242.209
123700 250.035
123800 318.901
123900 262.275
124000 266.637
124100 271.085
124200 262.99
124300 315.191
124400 283.368
124500 380.678
124600 488.86
124700 436.047
124800 403.273
124900 390.696
125000 284.268
125100 271.587
125200 282.842
125300 255.646
125400 348.183
125500 226.326
125600 299.665
125700 329.23
125800 208.633
125900 329.86
126000 319.729
126100 267.84
126200 433.309
126300 392.899
126400 320.469
126500 317.8
126600 321.187
126700 218.383
126800 303.112
126900 172.178
127000 417.729
127100 187.53
127200 392.439
127300 254.97
127400 394.605
127500 405.064
127600 329.905
127700 440.457
127800 334.311
127900 349.576
128000 269.153
128100 196.292
128200 214.564
128300 280.839
128400 321.912
128500 430.501
128600 286.811
128700 337.375
128800 392.028
128900 298.069
129000 370.07
129100 482.177
129200 363.49
129300 365.039
129400 357.945
129500 310.328
129600 328.234
129700 342.23
129800 294.346
129900 276.564
130000 399.857
130100 371.23
130200 326.184
130300 502.188
130400 444.693
130500 384.205
130600 335.596
130700 384.014
130800 389.583
130900 390.622
131000 304.363
131100 360.836
131200 463.359
131300 341.053
131400 292.072
131500 369.31
131600 433.693
131700 387.137
131800 289.654
131900 328.858
132000 375.151
132100 348.542
132200 348.37
132300 333.326
132400 336.188
132500 256.575
132600 375.457
132700 340.878
132800 296.433
132900 340.584
133000 300.15
133100 303.643
133200 441.665
133300 408.005
133400 404.361
133500 445.281
133600 277.764
133700 255.082
133800 310.734
133900 237.737
134000 198.698
134100 298.696
134200 353.207
134300 436.71
134400 533.264
134500 498.628
134600 334.383
134700 406.91
134800 280.899
134900 387.789
135000 314.446
135100 446.242
135200 389.831
135300 215.457
135400 492.043
135500 351.852
135600 313.897
135700 287.459
135800 368.151
135900 373.211
136000 351.828
136100 397.122
136200 328.869
136300 318.614
136400 247.745
136500 394.725
136600 230.086
136700 344.426
136800 337.911
136900 233.4
137000 432.866
137100 408.229
137200 451.814
137300 462.306
137400 265.726
137500 424.489
137600 350.912
137700 368.865
137800 324.836
137900 355.665
138000 215.247
138100 491.479
138200 338.453
138300 403.277
138400 408.493
138500 307.753
138600 385.2
138700 390.96
138800 302.961
138900 493.704
139000 304.355
139100 321.295
139200 408.145
139300 412.004
139400 368.545
139500 424.041
139600 444.001
139700 409.625
139800 337.071
139900 398.689
140000 381.514
140100 218.797
140200 290.297
140300 344.381
140400 224.735
140500 404.574
140600 285.43
140700 366.042
140800 300.588
140900 386.683
141000 402.035
141100 303.312
141200 451.145
141300 302.61
141400 336.284
141500 373.614
141600 276.829
141700 270.828
141800 249.383
141900 272.974
142000 253.006
142100 376.689
142200 352.53
142300 311.242
142400 367.088
142500 288.873
142600 377.713
142700 336.044
142800 417.688
142900 368.788
143000 296.117
143100 264.468
143200 351.972
143300 305.774
143400 403.336
143500 341.927
143600 377.654
143700 340.936
143800 262.7
143900 315.997
144000 401.873
144100 249.036
144200 353.585
144300 166.03
144400 341.591
144500 276.771
144600 316.802
144700 393.428
144800 344.458
144900 264.811
145000 376.237
145100 214.315
145200 334.035
145300 195.645
145400 340.368
145500 210.317
145600 238.6
145700 292.916
145800 249.436
145900 295.852
146000 354.402
146100 373.539
146200 335.658
146300 361.965
146400 334.049
146500 336.094
146600 177.867
146700 441.454
146800 180.501
146900 285.359
147000 306.194
147100 259.698
147200 311.091
147300 275.862
147400 346.892
147500 414.807
147600 361.944
147700 361.986
147800 288.137
147900 366.065
148000 279.003
148100 258.234
148200 411.957
148300 306.229
148400 408.854
148500 342.146
148600 319.677
148700 394.759
148800 318.853
148900 310.909
149000 270.954
149100 350.09
149200 314.317
149300 260.372
149400 267.703
149500 373.311
149600 391.839
149700 432.093
149800 527
149900 497.417
150000 588.044
150100 364.571
150200 405.323
150300 303.779
150400 374.989
150500 417.385
150600 339.028
150700 413.733
150800 376.257
150900 365.97
151000 304.592
151100 288.351
151200 355.279
151300 353.149
151400 246.028
151500 423.449
151600 285.327
151700 251.449
151800 226.07
151900 279.635
152000 344.251
152100 319.245
152200 301.105
152300 330.387
152400 458.906
152500 353.636
152600 358.03
152700 388.211
152800 350.217
152900 282.162
153000 311.034
153100 365.713
153200 344.075
153300 392.785
153400 370.808
153500 274.254
153600 345.675
153700 297.409
153800 273.984
153900 358.623
154000 235.315
154100 341.052
154200 244.152
154300 357.939
154400 359.58
154500 241.607
154600 243.77
154700 235.623
154800 254.518
154900 340.833
155000 345.233
155100 287.968
155200 338.723
155300 311.936
155400 326.239
155500 349.265
155600 337.877
155700 337.113
155800 352.394
155900 281.825
156000 307.902
156100 355.3
156200 296.707
156300 430.149
156400 262.93
156500 426.486
156600 282.163
156700 337.874
156800 319.963
156900 310.47
157000 337.64
157100 303.626
157200 297.716
157300 297.32
157400 234.474
157500 312.878
157600 260.901
157700 245.217
157800 302.343
157900 278.204
158000 359.647
158100 368.671
158200 390.953
158300 274.357
158400 366.767
158500 311.418
158600 356.732
158700 313.782
158800 314.099
158900 265.268
159000 300.213
159100 253.268
159200 260.25
159300 393.499
159400 313.968
159500 417.472
159600 328.562
159700 324.601
159800 344.226
159900 218.556
160000 354.996
160100 211.422
160200 267.141
160300 324.609
160400 317.505
160500 297.67
160600 323.069
160700 300.919
160800 296.318
160900 258.893
161000 284.535
161100 226.373
161200 311.716
161300 285.522
161400 361.023
161500 350.672
161600 316.974
161700 377.982
161800 388.184
161900 336.098
162000 390.969
162100 449.305
162200 416.286
162300 384.509
162400 420.564
162500 264.522
162600 351.231
162700 215.733
162800 275.106
162900 189.962
163000 192.222
163100 281.568
163200 268.256
163300 361.58
163400 270.957
163500 348.725
163600 273.68
163700 304.615
163800 293.361
163900 286.885
164000 314.894
164100 231.799
164200 286.291
164300 349.498
164400 267.63
164500 344.5
164600 311.115
164700 304.228
164800 320.01
164900 371.21
165000 281.884
165100 375.244
165200 297.727
165300 342.317
165400 359.019
165500 308.814
165600 327.519
165700 310.436
165800 244.694
165900 314.572
166000 349.381
166100 298.436
166200 318.712
166300 363.078
166400 248.344
166500 263.094
166600 249.285
166700 260.796
166800 257.462
166900 298.534
167000 262.128
167100 277.606
167200 290.35
167300 320.845
167400 304.506
167500 269.111
167600 253.717
167700 215.956
167800 224.231
167900 308.835
168000 282.902
168100 356.21
168200 325.345
168300 380.337
168400 283.838
168500 339.153
168600 374.335
168700 221.073
168800 320.285
168900 286.215
169000 182.659
169100 252.807
169200 226.608
169300 216.474
169400 238.715
169500 305.738
169600 266.522
169700 325.665
169800 361.382
169900 303.095
170000 314.528
170100 344.656
170200 237.504
170300 311.181
170400 243.608
170500 333.305
170600 344.719
170700 430.767
170800 522.564
170900 329.779
171000 450.964
171100 414.557
171200 262.976
171300 394.133
171400 169.341
171500 333.965
171600 179.536
171700 269.858
171800 185.095
171900 256.641
172000 292.597
172100 208.544
172200 346.677
172300 348.499
172400 252.669
172500 380.97
172600 339.464
172700 289.876
172800 233.873
172900 333.78
173000 213.81
173100 450.07
173200 338.07
173300 248.397
173400 283.006
173500 283.12
173600 281.577
173700 289.231
173800 227.334
173900 261.706
174000 292.905
174100 194.084
174200 304.123
174300 226.08
174400 323.98
174500 238.957
174600 308.056
174700 354.543
174800 139.435
174900 362.817
175000 244.406
175100 363.293
175200 309.93
175300 360.68
175400 289.675
175500 258.948
175600 230.541
175700 241.681
175800 200.957
175900 256.338
176000 242.158
176100 245.234
176200 311.656
176300 231.896
176400 313.296
176500 240.963
176600 316.871
176700 221.936
176800 276.27
176900 234.813
177000 236.298
177100 279.828
177200 221.681
177300 246.668
177400 270.654
177500 284.13
177600 298.379
177700 306.062
177800 250.973
177900 320.969
178000 276.864
178100 204.715
178200 270.875
178300 239.998
178400 190.03
178500 300.095
178600 277.847
178700 264.891
178800 304.1
178900 374.036
179000 259.082
179100 311.292
179200 262.293
179300 235.337
179400 251.32
179500 339.796
179600 285.307
179700 228.105
179800 394.75
179900 217.194
180000 299.526
180100 390.962
180200 325.673
180300 273.985
180400 336.032
180500 335.518
180600 266.144
180700 250.828
180800 278.903
180900 317.495
181000 248.531
181100 344.372
181200 287.112
181300 266.285
181400 328.009
181500 325.959
181600 268.233
181700 289.193
181800 293.902
181900 282.914
182000 268.771
182100 307.489
182200 205.278
182300 225.861
182400 220.189
182500 177.158
182600 291.334
182700 355.354
182800 257.076
182900 338.188
183000 375.167
183100 323.98
183200 225.132
183300 392.234
183400 296.635
183500 273.52
183600 320.89
183700 365.224
183800 221.007
183900 340.934
184000 291.622
184100 214.298
184200 303.246
184300 227.901
184400 322.027
184500 260.084
184600 315.587
184700 245.327
184800 206.059
184900 242.39
185000 257.591
185100 167.662
185200 263.539
185300 274.821
185400 270.723
185500 380.095
185600 244.841
185700 402.12
185800 185.625
185900 351.564
186000 392.42
186100 317.855
186200 324.161
186300 323.724
186400 398.571
186500 345.618
186600 337.816
186700 329.378
186800 310.525
186900 257.406
187000 270.662
187100 327.277
187200 231.02
187300 259.202
187400 286.698
187500 267.354
187600 293.537
187700 271.612
187800 304.516
187900 276.44
188000 335.456
188100 296.683
188200 177.632
188300 344.163
188400 256.798
188500 225.084
188600 293.296
188700 283.288
188800 227.969
188900 289.189
189000 328.75
189100 283.44
189200 380.683
189300 271.737
189400 325.003
189500 249.291
189600 319.302
189700 204.361
189800 314.038
189900 305.858
190000 320.681
190100 299.349
190200 313.769
190300 225.374
190400 235.669
190500 387.967
190600 308.811
190700 324.874
190800 400.666
190900 324.96
191000 319.264
191100 383.357
191200 198.138
191300 302.101
191400 237.848
191500 243.275
191600 263.001
191700 344.835
191800 330.382
191900 359.704
192000 241.999
192100 275.546
192200 297.62
192300 236.348
192400 337.32
192500 275.46
192600 263.604
192700 331.13
192800 269.471
192900 350.161
193000 363.73
193100 359.539
193200 347.986
193300 272.951
193400 276.892
193500 235.848
193600 254.129
193700 242.75
193800 272.098
193900 219.476
194000 312.678
194100 271.411
194200 325.925
194300 328.465
194400 444.522
194500 390.426
194600 382.096
194700 356.098
194800 276.851
194900 249.684
195000 280.976
195100 216.748
195200 286.933
195300 228.032
195400 292.645
195500 214.416
195600 334.21
195700 262.594
195800 218.539
195900 222.882
196000 231.849
196100 283.586
196200 319.065
196300 335.49
196400 264.78
196500 309.006
196600 277.897
196700 331.11
196800 312.611
196900 309.754
197000 279.706
197100 218.296
197200 411.043
197300 291.671
197400 276.384
197500 448.168
197600 265.653
197700 345.86
197800 269.127
